,word1,word2,label
101,веселеть,веселить,1
102,весёлый,увеселительный,1
103,ветровой,ветряной,1
104,вечерня,вечеря,1
105,вешалка,вешала,1
106,взаимопонимание,понимание,1
107,взбитый,сбитый,1
108,взвесить,свесить,1
109,вздрогнуть,дрогнуть,1
110,взрослеть,взрослить,1
111,взрыть,врыть,1
112,взыскательный,изысканный,1
113,видение,видение,1
114,виноватый,виновный,1
115,вклад,вложение,1
116,владеть,обладать,1
117,вначале,изначально,1
118,внеклассный,внеклассовый,1
119,водный,водяной,1
120,воедино,заодно,1
121,военный,воинский,1
122,вожделенный,вожделеющий,1
123,возбуждать,побуждать,1
124,возлагать,налагать,1
125,возмутительный,возмущённый,1
126,возраст,рост,1
127,воинственный,воинствующий,1
128,войти,взойти,1
129,волнующий,волнительный,1
130,волосатый,волосистый,1
131,вольный,произвольный,1
132,вороний,вороновый,1
133,воскресать,воскрешать,1
134,воскресение,воскресенье,1
135,воспитательный,воспитательский,1
136,восполнить,заполнить,1
137,восприемник,преемник,1
138,восход,всход,1
139,впрыгнуть,вспрыгнуть,1
140,враждебный,вражеский,1
141,временник,временщик,1
142,временной,временный,1
143,вскрытие,раскрытие,1
144,вспоминать,поминать,1
145,вспыльчивость,пылкость,1
146,встать,стать,1
147,встряхнуть,тряхнуть,1
148,вступить,поступить,1
149,всякий,всяческий,1
150,выбор,подбор,1
151,выборный,выборочный,1
152,вывёртываться,увёртываться,1
153,выгода,выгодность,1
154,выдача,подача,1
155,выдержать,сдержать,1
156,выжидательный,выжидающий,1
157,вымысел,измышление,1
158,выписать,подписать,1
159,выплатить,заплатить,1
160,вырастить,нарастить,1
161,высветить,высветлить,1
162,высокий,высотный,1
163,высший,вышний,1
164,выучить,изучить,1
165,вязаться,связываться,1
166,гагарий,гагаровый,1
167,гадальный,гадательный,1
168,газовик,газовщик,1
169,гарант,гарантия,1
170,гарантийный,гарантированный,1
171,гармонический,гармоничный,1
172,гармония,дисгармония,1
173,гашенный,гашёный,1
174,генеральный,генеральский,1
175,героизм,героика,1
176,героический,геройский,1
177,гигиенический,гигиеничный,1
178,гидрант,гидрат,1
179,главный,заглавный,1
180,гласность,огласка,1
181,глинистый,глиняный,1
182,глубинный,глубокий,1
183,глупеть,глупить,1
184,гневливый,гневный,1
185,гнездо,гнездовье,1
186,гнилой,гнилостный,1
187,гнуткий,гнутый,1
188,годовалый,годовой,1
189,головашки,головешки,1
190,гоночный,гончий,1
191,гончарный,гончарский,1
192,горделивый,гордый,1
193,гордыня,гордость,1
194,горло,горловина,1
195,горний,горный,1
196,городничий,городовой,1
197,горючий,горячий,1
198,господний,господский,1
199,гостиничный,гостинный,1
200,гражданский,гражданственный,1
201,грамматический,грамматичный,1
202,графический,графичный,1
203,грецкий,греческий,1
204,грибное,грибковое,1
205,грозный,грозовой,1
206,громкий,громовой,1
207,грубеть,грубить,1
208,группа,группировка,1
209,гуманизм,гуманность,1
210,гуманный,гуманистический,1
211,гусачий,гусячий,1
212,густеть,густить,1
213,дар,дарственная,1
214,дарёный,даровой,1
215,дармоедный,дармоедский,1
216,двигатель,движитель,1
217,двинуть,сдвинуть,1
218,двоичный,двойной,1
219,двойняшки,двояшки,1
220,двойственный,двоякий,1
221,дворовый,придворный,1
222,двуручный,двурушный,1
223,дегенерация,регенерация,1
224,дедовский,дедушкин,1
225,действенный,действительный,1
226,действие,действо,1
227,деквалификация,дисквалификация,1
228,декларативный,декларационный,1
229,декоративный,декорационный,1
230,деловитый,деловой,1
231,дельный,деляческий,1
232,дельфиний,дельфиновый,1
233,демобилизировать,мобилизировать,1
234,демократический,демократичный,1
235,демократичность,демократия,1
236,демонстративный,демонстрационный,1
237,демонтаж,монтаж,1
238,депрессия,репрессия,1
239,держать,содержать,1
240,дерзать,дерзить,1
241,деспотизм,деспотия,1
242,деспотический,деспотичный,1
243,дефектный,дефективный,1
244,диалект,диалектизм,1
245,дивизион,дивизия,1
246,дидактический,дидактичный,1
247,диктант,диктат,1
248,динамизм,динамика,1
249,динамический,динамичный,1
250,дипломант,дипломат,1
251,дипломатика,дипломатия,1
252,дипломатический,дипломатичный,1
253,дифференциальный,дифференцированный,1
254,длинный,длительный,1
255,днище,дно,1
256,добавить,прибавить,1
257,добавка,надбавка,1
258,добровольный,добровольческий,1
259,добрый,добротный,1
260,добычливый,добычный,1
261,доверие,доверительность,1
262,доверчивый,доверительный,1
263,довольствие,довольство,1
264,догматический,догматичный,1
265,дождевой,дождливый,1
266,докучливо,докучно,1
267,докучливый,докучный,1
268,доминантный,доминантовый,1
269,домовой,домовый,1
270,домоправление,домоуправление,1
271,допуск,допущение,1
272,досадливо,досадно,1
273,досадливый,досадный,1
274,достигать,настигать,1
275,достоинство,достояние,1
276,достойно,пристойно,1
277,доходить,заходить,1
278,доходный,доходчивый,1
279,драматический,драматичный,1
280,дружеский,дружественный,1
281,дудочный,дудчатый,1
282,дуреть,дурить,1
283,духовность,душевность,1
284,духовный,духовой,1
285,дыбом,на дыбы,1
286,дымный,дымовой,1
287,единичный,одиночный,1
288,единоверный,единоверческий,1
289,единовременный,одновременный,1
290,единообразие,однообразие,1
291,единственный,единый,1
292,естественность,естество,1
293,жабий,жабный,1
294,жавороночий,жавороночный,1
295,жалостливо,жалостно,1
296,жалостливый,жалостный,1
297,желанный,желательный,1
298,желтеть,желтить,1
299,женский,женственный,1
300,жестокий,жёсткий,1
301,живой,животный,1
302,живучий,живительный,1
303,жизненный,житейский,1
304,жилой,жилищный,1
305,заблудиться,заблуждаться,1
306,заботливый,заботный,1
307,завидливый,завидный,1
308,заводной,заводской,1
309,завоевательный,завоевательский,1
310,заживать,заживлять,1
311,законодательный,законодательский,1
312,запасливый,запасный,1
313,заразный,заразительный,1
314,затруднённый,затруднительный,1
315,зачинатель,зачинщик,1
316,защитный,защитительный,1
317,звериный,зверский,1
318,звучный,звуковой,1
319,здравица,здравница,1
320,зеленеть,зеленить,1
321,земляной,земной,1
322,зернистый,зерновой,1
323,зимовник,зимовщик,1
324,зло,злостно,1
325,злобный,зловещий,1
326,злой,злостный,1
327,знамя,знамение,1
328,золотеть,золотить,1
329,зрительный,зрительский,1
330,зубастый,зубатый,1
331,зубной,зубовой,1
332,зубы,зубья,1
333,иголочный,игольчатый,1
334,игральный,игорный,1
335,игривый,игристый,1
336,идеалистистический,идеалистичный,1
337,идиотический,идиотичный,1
338,иждивенство,иждивенчество,1
339,избирательный,избирательский,1
340,изнашиваемость,изношенность,1
341,изобретательный,изобретательский,1
342,изуверный,изверуский,1
343,изыскательный,изыскательский,1
344,именной,именитый,1
345,индейский,индийский,1
346,инженерный,инженерский,1
347,инновация,новация,1
348,иноверный,иноверческий,1
349,инородный,инородческий,1
350,интеллигентный,интеллигентский,1
351,интранет,интернет,1
352,информативный,информационный,1
353,информация,информированность,1
354,иронический,ироничный,1
355,искательный,искательский,1
356,искусно,искусственно,1
357,искусный,искусственный,1
358,исполнительный,исполнительский,1
359,испытательный,испытательский,1
360,истерический,истеричный,1
361,исток,источник,1
362,исторический,историчный,1
363,истребительный,истребительский,1
364,иструхляветь,иструхлявить,1
365,исходный,исходящий,1
366,кабинетный,кабинетский,1
367,каменистый,каменный,1
368,камчатный,Камчатский,1
369,каннибал,Ганнибал,1
370,кардинальный,кардинальский,1
371,квадрант,квадрат,1
372,керосинный,керосиновый,1
373,классный,классовый,1
374,клёв,клюв,1
375,клеёночный,клеёнчатый,1
376,клеточный,клетчатый,1
377,ковкий,ковочный,1
378,кожаный,кожный,1
379,кокетка,кокотка,1
380,коллекторный,коллекторский,1
381,командированный,командировочный,1
382,комитент,комитет,1
383,комический,комичный,1
384,комфортный,комфортабельный,1
385,кондукторный,кондукторский,1
386,конный,конский,1
387,конфузливо,конфузно,1
388,конфузливый,конфузный,1
389,концепция,концепт,1
390,конъюнктура,конъектура,1
391,коптеть,коптить,1
392,коренной,корневой,1
393,коричневый,коричный,1
394,кормилица,кормильщица,1
395,костный,костяной,1
396,красочный,крашеный,1
397,крестный,крёстный,1
398,критический,критичный,1
399,крокодилий,крокодиловый,1
400,крючкотворный,крючкотворский,1
401,кулацкий,кулачный,1
402,купальник,купальщик,1
403,лавочнический,лавочный,1
404,лакированный,лакировочный,1
405,легальный,легитимный,1
406,леденеть,леденить,1
407,ледовый,ледяной,1
408,лесной,лесистый,1
409,летальный,летательный,1
410,лирик,лирник,1
411,лирический,лиричный,1
412,личный,личностный,1
413,лобный,лобовой,1
414,ловкий,ловчий,1
415,логический,логичный,1
416,ломать,ломить,1
417,луковичный,луковый,1
418,малахитный,малахитовый,1
419,малопонятливый,малопонятный,1
420,малоудачливый,малоудачный,1
421,масленый,масличный,1
422,маслянистый,масляный,1
423,мастистый,маститый,1
424,меланхолический,меланхоличный,1
425,мелкотравный,мелкотравчатый,1
426,мелодика,мелодия,1
427,мелодический,мелодичный,1
428,мелодраматический,мелодраматичный,1
429,мельничий,мельничный,1
430,метафизический,метафизичный,1
431,метод,методика,1
432,методистский,методический,1
433,мечтательный,мечтательский,1
434,микроскопический,микроскопичный,1
435,мистический,мистичный,1
436,мифический,мифичный,1
437,могильник,могильщик,1
438,могучий,могущественный,1
439,молодеть,молодить,1
440,монистический,монистичный,1
441,мороженый,морозный,1
442,мудреть,мудрить,1
443,мужицкий,мужичий,1
444,мучительный,мучительский,1
445,наблюдательный,наблюдательский,1
446,надувательный,надувательский,1
447,наёмничий,наёмный,1
448,накрапливать,накрапывать,1
449,наличие,наличность,1
450,наполнить,пополнить,1
451,напоминание,упоминание,1
452,насильно,насильственно,1
453,наследие,наследство,1
454,наследный,наследственный,1
455,настоятельный,настоятельский,1
456,натуралистический,натуралистичный,1
457,нафталан,нафталин,1
458,начертать,начертить,1
459,невежа,невежда,1
460,невинный,невиновный,1
461,неврастенический,неврастеничный,1
462,незаметливый,незаметный,1
463,неизмеримый,несоизмеримый,1
464,ненавистнический,ненавистный,1
465,ненаглядный,неоглядный,1
466,неорганический,неорганичный,1
467,непонятливо,непонятно,1
468,непонятливый,непонятный,1
469,неприглядный,непроглядный,1
470,неприметливый,неприметный,1
471,непроницаемый,непроницательный,1
472,нестерпимо,нетерпимо,1
473,нестерпимый,нетерпимый,1
474,неудачливый,неудачный,1
475,ниточный,нитчатый,1
476,ныне,нынче,1
477,обвинительный,обвинительский,1
478,обвязать,обязать,1
479,обделить,оделить,1
480,обеднеть,обеднить,1
481,обезводеть,обезводить,1
482,обезглаветь,обезглавить,1
483,обезденежеть,обезденежить,1
484,обездушеть,обездушить,1
485,обезземелеть,обезземелить,1
486,обезлошадеть,обезлошадить,1
487,обезлюдеть,обезлюдить,1
488,обезножеть,обезножить,1
489,обезрыбеть,обезрыбить,1
490,обесплодеть,обесплодить,1
491,обессилеть,обессилить,1
492,обжорливый,обжорный,1
493,обзолотить,озолотить,1
494,обидный,обидчивый,1
495,обличительный,обличительский,1
496,обогреть,огреть,1
497,оболванеть,оболванить,1
498,оборотливый,оборотный,1
499,обоснование,основание,1
500,обрывочный,обрывчатый,1
501,обстоятельный,обстоятельственный,1
502,обсудить,осудить,1
503,обхватить,охватить,1
504,овчарка,овчарня,1
505,оглупеть,оглупить,1
506,оговорка,отговорка,1
507,огородить,оградить,1
508,ограничение,ограниченность,1
509,огрызаться,отгрызаться,1
510,одеть,надеть,1
511,одинокий,одиночный,1
512,однокоренной,однокорневой,1
513,однорукий,одноручный,1
514,одышка,отдышка,1
515,оживать,оживлять,1
516,озлеть,озлить,1
517,озолотеть,озолотить,1
518,окаменеть,окаменить,1
519,оклик,отклик,1
520,опаршиветь,опаршивить,1
521,опасливо,опасно,1
522,опасливый,опасный,1
523,опечатать,отпечатать,1
524,опечатки,отпечатки,1
525,описка,отписка,1
526,оплатить,отплатить,1
527,оппортунистический,оппортунистичный,1
528,опытнический,опытный,1
529,органический,органичный,1
530,ординарный,ординарческий,1
531,орлёный,орлиный,1
532,осветитель,осветлитель,1
533,осветить,осветлить,1
534,осиротеть,осиротить,1
535,особенный,особый,1
536,останки,остатки,1
537,остеклеть,остеклить,1
538,остепенеть,остепенить,1
539,остервенеть,остервенить,1
540,осуждение,обсуждение,1
541,отбойник,отбойщик,1
542,отборник,отборщик,1
543,отборный,отборочный,1
544,ответный,ответственный,1
545,отдельный,отдельский,1
546,отирать,оттирать,1
547,отмета,отметка,1
548,отречение,отрешение,1
549,отрывок,обрывок,1
550,отряхнуть,стряхнуть,1
551,отходный,отходчивый,1
552,отчётливый,отчётный,1
553,оформительный,оформительский,1
554,охладеть,охладить,1
555,охотливо,охотно,1
556,оцепенеть,оцепенить,1
557,ошеек,ошейник,1
558,пакостливый,пакостный,1
559,палатный,палаточный,1
560,памятливый,памятный,1
561,пансионер,пенсионер,1
562,парламентский,парламентёрский,1
563,пастушеский,пастуший,1
564,пастушок,пастушонок,1
565,патриотический,патриотичный,1
566,певческий,певчий,1
567,педагогический,педагогичный,1
568,пергаменный,пергаментный,1
569,перегородочный,перегородчатый,1
570,переливочный,переливчатый,1
571,перепоночный,перепончатый,1
572,переродиться,переродниться,1
573,пионерный,пионерский,1
574,плавки,плавни,1
575,пластиночный,пластинчатый,1
576,пластический,пластичный,1
577,поверка,проверка,1
578,повиниться,провиниться,1
579,поворотливый,поворотный,1
580,поглотить,проглотить,1
581,подбородник,подбородок,1
582,подвижнический,подвижный,1
583,подголовник,подголовок,1
584,подживать,подживлять,1
585,подпятник,подпяточник,1
586,подрядный,подрядческий,1
587,подстричь,постричь,1
588,подхалимный,подхалимский,1
589,поедем,поедим,1
590,поиски,происки,1
591,покорливый,покорный,1
592,покупательный,покупательский,1
593,полемический,полемичный,1
594,полированный,полировочный,1
595,полис,полюс,1
596,политический,политичный,1
597,полнеть,полнить,1
598,помета,пометка,1
599,понедельничный,понедельный,1
600,понятливый,понятный,1
601,популярный,популистский,1
602,порвать,прервать,1
603,породить,породнить,1
604,порумянеть,порумянить,1
605,поручительный,поручительский,1
606,посёлок,просёлок,1
607,последовать,проследовать,1
608,поспешливый,поспешный,1
609,постель,пастель,1
610,поступок,проступок,1
611,потёки,потоки,1
612,потребительный,потребительский,1
613,почтенный,почтительный,1
614,поэтический,поэтичный,1
615,правительский,правительственный,1
616,праздничный,праздный,1
617,практический,практичный,1
618,предоставить,представить,1
619,предоставление,представление,1
620,представительный,представительский,1
621,представиться,преставиться,1
622,премьерный,премьерский,1
623,преобразовательный,преобразовательский,1
624,претерпеть,перетерпеть,1
625,приветный,приветственный,1
626,приглядливый,приглядный,1
627,признанный,признательный,1
628,приметать,примотать,1
629,приметливый,приметный,1
630,приобретательный,приобретательский,1
631,притягательный,притязательный,1
632,приютный,приютский,1
633,проблемный,проблематичный,1
634,проделка,подделка,1
635,продуктивный,продуктовый,1
636,прожигательный,прожигательский,1
637,прозаический,прозаичный,1
638,производный,производственный,1
639,производство,производительность,1
640,произнесение,произношение,1
641,пропавший,пропащий,1
642,проповеднический,проповедничий,1
643,пророческий,пророчественный,1
644,просветительный,просветительский,1
645,просительный,просительский,1
646,простак,простец,1
647,простацкий,простецкий,1
648,простудливый,простудный,1
649,протрезветь,протрезвить,1
650,псарный,псарский,1
651,психологический,психологичный,1
652,публицистический,публицистичный,1
653,пугливый,пуганый,1
654,пьянеть,пьянить,1
655,работник,рабочий,1
656,разборочный,разборчивый,1
657,разграничить,отграничить,1
658,раздеть,разодеть,1
659,раздражение,раздражительность,1
660,разливочный,разливчатый,1
661,различать,отличать,1
662,различие,отличие,1
663,разместить,поместить,1
664,разместиться,поместиться,1
665,разночинный,разночинский,1
666,разный,различный,1
667,раковый,рачий,1
668,раскольнический,раскольничий,1
669,распутица,распутница,1
670,расточительный,расточительский,1
671,расчётливый,расчётный,1
672,реабилитационный,реабилитированный,1
673,реалистический,реалистичный,1
674,ребрастый,ребристый,1
675,ребячий,ребячливый,1
676,редеть,редить,1
677,ремесленнический,ремесленный,1
678,решимость,решительность,1
679,ригористический,ригористичный,1
680,рисковой,рисковый,1
681,рисуночный,рисунчатый,1
682,ритмический,ритмичный,1
683,рогастый,рогатый,1
684,рожать,рождать,1
685,романтический,романтичный,1
686,русский,российский,1
687,рыбак,рыболов,1
688,рыбий,рыбный,1
689,рыболовецкий,рыболовный,1
690,садовнический,садовничий,1
691,самодурный,самодурский,1
692,сапожничий,сапожный,1
693,сатирический,сатиричный,1
694,сборочный,сборчатый,1
695,светить,светлить,1
696,сводный,сводчатый,1
697,сдвоенный,удвоенный,1
698,седельный,седельчатый,1
699,сеточный,сетчатый,1
700,симпатический,симпатичный,1
701,симптоматический,симптоматичный,1
702,синеть,синить,1
703,системный,систематический,1
704,скальпель,скарпель,1
705,складной,складской,1
706,склочнический,склочный,1
707,скобочный,скобчатый,1
708,скотный,скотский,1
709,скрытный,скрытый,1
710,сладкий,сладостный,1
711,сладко,сладостно,1
712,словарный,словесный,1
713,сломанный,сломленный,1
714,слоновий,слоновый,1
715,сметливый,сметный,1
716,снискать,сыскать,1
717,собирательный,собирательский,1
718,собственнический,собственный,1
719,совестливо,совестно,1
720,советник,советчик,1
721,солитер,солитёр,1
722,солярный,соляровый,1
723,сопротивление,сопротивляемость,1
724,соседний,соседский,1
725,сочинительный,сочинительский,1
726,спасательный,спасительный,1
727,спускной,спусковой,1
728,сравнимый,сравнительный,1
729,сталагмит,сталактит,1
730,старательный,старательский,1
731,старый,старинный,1
732,статический,статичный,1
733,стеклеть,стеклить,1
734,стеклянный,стекольный,1
735,стихотворный,стихотворческий,1
736,столовский,столовый,1
737,столярный,столярский,1
738,стрелец,стрелок,1
739,стрелочный,стрелчатый,1
740,строительный,строительский,1
741,стяжательный,стяжательский,1
742,существо,сущность,1
743,схематический,схематичный,1
744,схоластический,схоластичный,1
745,сценический,сценичный,1
746,съёмный,съёмочный,1
747,сытно,сыто,1
748,сытный,сытый,1
749,тактический,тактичный,1
750,талан,талант,1
751,телевизионник,телевизионщик,1
752,тема,тематика,1
753,темнеть,темнить,1
754,темь,тень,1
755,теоретический,теоретичный,1
756,термальный,термический,1
757,терпимость,терпеливость,1
758,тесёмочный,тесёмчатый,1
759,технический,техничный,1
760,технологический,технологичный,1
761,типический,типичный,1
762,токсический,токсичный,1
763,толстеть,толстить,1
764,травматический,травматологический,1
765,трагический,трагичный,1
766,трубочный,трубчатый,1
767,тупеть,тупить,1
768,тюленевый,тюлений,1
769,тягостно,тяжко,1
770,тягостный,тяжкий,1
771,тяготеть,тяготить,1
772,угодливо,угодно,1
773,угодливый,угодный,1
774,удалой,удальской,1
775,удачливо,удачно,1
776,удачливый,удачный,1
777,узорный,узорчатый,1
778,уклонение,отклонение,1
779,уклоняться,отклоняться,1
780,умный,умственный,1
781,униженный,унизительный,1
782,упадочнический,упадочный,1
783,усастый,усатый,1
784,усвоить,освоить,1
785,учредительный,учредительский,1
786,фабрикант,фабрикат,1
787,фазаний,фазановый,1
788,факт,фактор,1
789,фактический,фактичный,1
790,фанатический,фанатичный,1
791,фантазёрство,фантазирование,1
792,фантастический,фантастичный,1
793,феерический,фееричный,1
794,фен,фён,1
795,фиеста,сиеста,1
796,Финно-,Финско-,1
797,фланелевый,фланельный,1
798,флегматический,флегматичный,1
799,формат,формант,1
800,хваткий,хватский,1
801,хвостистский,хвостистый,1
802,хищнический,хищный,1
803,хлебопашенный,хлебопашеский,1
804,хлеборобный,хлеборобский,1
805,хозяйский,хозяйственный,1
806,холодеть,холодить,1
807,холодильник,холодильщик,1
808,холопий,холопский,1
809,художественный,художнический,1
810,царский,царственный,1
811,цвета,цветы,1
812,цветастый,цветистый,1
813,цветной,цветовой,1
814,целый,цельный,1
815,центральный,централизованный,1
816,цепенеть,цепенить,1
817,церковнический,церковничий,1
818,циклический,цикличный,1
819,цинический,циничный,1
820,чародейный,чародейский,1
821,чеканный,чеканочный,1
822,человеческий,человечный,1
823,человечий,человечный,1
824,черви,червы,1
825,червиветь,червить,1
826,черепаховый,черепаший,1
827,черкеска,черкешенка,1
828,чернеть,чернить,1
829,черстветь,черствить,1
830,четырёхрукий,четырёхручный,1
831,чиновницкий,чиновничий,1
832,чубастый,чубатый,1
833,чувственный,чувствительный,1
834,чудацкий,чудаческий,1
835,чудной,чудный,1
836,швейцар,швейцарец,1
837,шелковистый,шелковый,1
838,шершаветь,шершавить,1
839,шествовать,шефствовать,1
840,широкий,широтный,1
841,школьнический,школьный,1
842,шлифовальник,шлифовальщик,1
843,шляпный,шляпочный,1
844,шнурок,шнуровка,1
845,штатный,штатский,1
846,штурмовик,штурмовщик,1
847,шумный,шумовой,1
848,шутливый,шуточный,1
849,экзерсисы,экзерциции,1
850,экологичный,экологический,1
851,экономика,экономия,1
852,экономический,экономичный,1
853,экономный,экономский,1
854,экранизировать,экранировать,1
855,экскаватор,эскалатор,1
856,экспонат,экспонент,1
857,элегический,элегичный,1
858,элитный,элитарный,1
859,энциклопедический,энциклопедичный,1
860,эстетический,эстетичный,1
861,эстетный,эстетский,1
862,этический,этичный,1
863,эфемерный,эфирный,1
864,эффективность,эффектность,1
865,эффективный,эффектный,1
866,ювелирный,ювелирский,1
867,юмореска,юмористка,1
868,юмористика,юмористка,1
869,юмористический,юмористичный,1
870,юродивый,юродливый,1
871,ябедливый,ябедный,1
872,яблочный,яблоневый,1
873,явно,явственно,1
874,явный,явственный,1
875,языковой,языковый,1
876,яловочный,яловый,1
877,яростный,ярый,1
878,ящер,ящур,1
